Categories,Name,Measurement,Daily Value
Macronutrients,Weight,100g,
Macronutrients,Calories (kcal),95,5%
Macronutrients,Fat,3.5g,4%
Macronutrients,Protein,6.8g,14%
Macronutrients,Carbohydrate,9.2g,3%
Macronutrients,Sugars,0.34g,1%
Macronutrients,Fiber,0.7g,3%
Macronutrients,Cholesterol,20mg,7%
Macronutrients,Saturated Fats,1.3g,6%
Macronutrients,Net-Carbs,8.5g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,14mg,1%
Minerals,"Iron, Fe",1mg,6%
Minerals,"Potassium, K",110mg,2%
Minerals,Magnesium,12mg,3%
Minerals,"Phosphorus, P",62mg,5%
Minerals,Sodium,130mg,5%
Minerals,"Zinc, Zn",1.6mg,15%
Minerals,"Copper, Cu",0.03mg,3%
Minerals,Manganese,0.14mg,6%
Minerals,"Selenium, Se",8.3mcg,15%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",0mcg,0%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),0.18mg,15%
Vitamins,Riboflavin (B2),0.13mg,10%
Vitamins,Niacin (B3),2.1mg,13%
Vitamins,Vitamin B5 (PA),0.21mg,4%
Vitamins,Vitamin B6,0.06mg,3%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),33mcg,8%
Vitamins,Folic acid,15mcg,4%
Vitamins,Food Folate,18mcg,5%
Vitamins,Folate DFE,44mcg,11%
Vitamins,Choline,--mg,--%
Vitamins,Vitamin B12,0.68mcg,28%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",--mcg,--%
Vitamins,"Carotene, alpha",--mcg,--%
Vitamins,"Cryptoxanthin, beta",--mcg,--%
Vitamins,"Vitamin A, IU",0IU,
Vitamins,Lycopene,--mcg,
Vitamins,Lut + Zeaxanthin,--mcg,
Vitamins,Vitamin E,0.3mg,2%
Vitamins,Vitamin D,--mcg,--%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),--IU,--%
Vitamins,Vitamin K,0mcg,0%
Vitamins,Vitamin K1,0mcg,
Vitamins,Menaquinone-4 (K2),0.9mcg,
Other,Water,79.8g,
Other,Ash,0.72g,
Other,Alcohol,--g,
Other,Caffeine,--mg,
Other,Theobromine,--mg,
Other,PRAL score,2.81,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,0.16g,
Carbs & Sugars,Glucose (Dextrose),0g,
Carbs & Sugars,Fructose,0g,
Carbs & Sugars,Lactose,0g,
Carbs & Sugars,Maltose,0.19g,
Carbs & Sugars,Galactose,0g,
Carbs & Sugars,Starch,6.6g,
Carbs & Sugars,"Carbohydrate, other",--g,
