Categories,Name,Measurement,Daily Value
Macronutrients,Weight,85g,
Macronutrients,Calories (kcal),82,4%
Macronutrients,Fat,1.3g,2%
Macronutrients,Protein,16.4g,33%
Macronutrients,Carbohydrate,0g,0%
Macronutrients,Sugars,--g,--%
Macronutrients,Fiber,0g,0%
Macronutrients,Cholesterol,45.1mg,15%
Macronutrients,Saturated Fats,0.11g,1%
Macronutrients,Net-Carbs,0g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,50.2mg,4%
Minerals,"Iron, Fe",0.65mg,4%
Minerals,"Potassium, K",222.7mg,5%
Minerals,Magnesium,53.6mg,13%
Minerals,"Phosphorus, P",238mg,19%
Minerals,Sodium,911.2mg,38%
Minerals,"Zinc, Zn",6.5mg,59%
Minerals,"Copper, Cu",1mg,112%
Minerals,Manganese,0.03mg,1%
Minerals,"Selenium, Se",34mcg,62%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",7.7mcg,1%
Vitamins,Vitamin C,6.5mg,7%
Vitamins,Thiamin (B1),0.05mg,4%
Vitamins,Riboflavin (B2),0.05mg,4%
Vitamins,Niacin (B3),1.1mg,7%
Vitamins,Vitamin B5 (PA),0.34mg,7%
Vitamins,Vitamin B6,0.15mg,9%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),43.4mcg,11%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,43.4mcg,11%
Vitamins,Folate DFE,43.4mcg,11%
Vitamins,Choline,--mg,--%
Vitamins,Vitamin B12,9.8mcg,407%
Vitamins,Retinol,7.7mcg,
Vitamins,"Carotene, beta",--mcg,--%
Vitamins,"Carotene, alpha",--mcg,--%
Vitamins,"Cryptoxanthin, beta",--mcg,--%
Vitamins,"Vitamin A, IU",24.7IU,
Vitamins,Lycopene,--mcg,
Vitamins,Lut + Zeaxanthin,--mcg,
Vitamins,Vitamin E,--mg,--%
Vitamins,Vitamin D,--mcg,--%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),--IU,--%
Vitamins,Vitamin K,--mcg,--%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,65.9g,
Other,Ash,2g,
Other,Alcohol,--g,
Other,Caffeine,--mg,
Other,Theobromine,--mg,
Other,PRAL score,10.11,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,0.157g,
Fats,Total Polyunsaturated,0.456g,
Fats,Omega 3s,0.377g,24%
Fats,Omega 6s,0.017g,0%
Fats,Omega 3 to Omega 6 Ratio,22.2,
Fats,Omega 6 to Omega 3 Ratio,0.05,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0.251g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0.026g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0.1g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
Omega-6 Fats,Butyric (4:0),--g,
Omega-6 Fats,Caproic (6:0),--g,
Omega-6 Fats,Caprylic Acid (8:0),--g,
Omega-6 Fats,Capric Acid (10:0),0.003g,
