Categories,Name,Measurement,Daily Value
Macronutrients,Weight,100g,
Macronutrients,Calories (kcal),85,4%
Macronutrients,Fat,0.18g,0%
Macronutrients,Protein,1.2g,2%
Macronutrients,Carbohydrate,22.2g,8%
Macronutrients,Sugars,19.6g,39%
Macronutrients,Fiber,2.6g,9%
Macronutrients,Cholesterol,0mg,0%
Macronutrients,Saturated Fats,0.01g,0%
Macronutrients,Net-Carbs,19.6g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,19mg,1%
Minerals,"Iron, Fe",0.94mg,5%
Minerals,"Potassium, K",411mg,9%
Minerals,Magnesium,11mg,3%
Minerals,"Phosphorus, P",25mg,2%
Minerals,Sodium,4mg,0%
Minerals,"Zinc, Zn",0.14mg,1%
Minerals,"Copper, Cu",0.12mg,13%
Minerals,Manganese,0.08mg,4%
Minerals,"Selenium, Se",0.8mcg,1%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",64mcg,7%
Vitamins,Vitamin C,0.3mg,0%
Vitamins,Thiamin (B1),0.01mg,0%
Vitamins,Riboflavin (B2),0.03mg,2%
Vitamins,Niacin (B3),0.92mg,6%
Vitamins,Vitamin B5 (PA),0.21mg,4%
Vitamins,Vitamin B6,0.05mg,3%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),3mcg,1%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,3mcg,1%
Vitamins,Folate DFE,3mcg,1%
Vitamins,Choline,4.9mg,1%
Vitamins,Vitamin B12,0mcg,0%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",765mcg,7%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",0mcg,0%
Vitamins,"Vitamin A, IU",1275IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,0mcg,
Vitamins,Vitamin E,1.5mg,10%
Vitamins,Vitamin D,0mcg,0%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),0IU,0%
Vitamins,Vitamin K,1.1mcg,1%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,75.6g,
Other,Ash,0.91g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,-7.69,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,0.026g,
Fats,Total Polyunsaturated,0.026g,
Fats,Omega 3s,0g,0%
Fats,Omega 6s,0.026g,0%
Fats,Omega 3 to Omega 6 Ratio,0,
Fats,Omega 6 to Omega 3 Ratio,--,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
Omega-6 Fats,Butyric (4:0),0g,
Omega-6 Fats,Caproic (6:0),0g,
Omega-6 Fats,Caprylic Acid (8:0),0g,
Omega-6 Fats,Capric Acid (10:0),0g,
Omega-6 Fats,Lauric Acid (12:0),0g,
Omega-6 Fats,Tridecanoic Acid (13:0),--g,
Omega-6 Fats,Myristic Acid (14:0),0g,
Omega-6 Fats,Pentadecanoic Acid (15:0),--g,
Omega-6 Fats,Palmitic Acid (16:0),0.006g,
Omega-6 Fats,Margaric Acid (17:0),--g,
Omega-6 Fats,Stearic Acid (18:0),0g,
Omega-6 Fats,Arachidic Acid (20:0),--g,
Omega-6 Fats,Behenic Acid (22:0),--g,
Omega-6 Fats,Lignoceric Acid (24:0),--g,
Monounsaturated Fats,Myristoleic Acid (14:1),--g,
Monounsaturated Fats,Pentadecenoic Acid (15:1),--g,
Monounsaturated Fats,Palmitoleic Acid (16:1),0g,
Monounsaturated Fats,cis-Palmitoleic Acid (16:1 cis),--g,
Monounsaturated Fats,Heptadecenoic Acid (17:1),--g,
Monounsaturated Fats,Oleic Acid (18:1),0.026g,
Monounsaturated Fats,cis-Oleic Acid (18:1 cis),--g,
Monounsaturated Fats,cis-Vaccenic acid,--g,
Monounsaturated Fats,Gadoleic Acid (20:1),0g,
Monounsaturated Fats,Docosenoic Acid (22:1),0g,
Monounsaturated Fats,cis-Docosenoic Acid (22:1 cis),--g,
Monounsaturated Fats,cis-Tetracosenoic Acid (24:1 cis),--g,
Polyunsaturated Fats,Octadecadienoic Acid (18:2),0.026g,
Polyunsaturated Fats,Conjugated Linoleic Acid (CLAs),--g,
Polyunsaturated Fats,i-Octadecadienoic Acid (18:2 mixed isomers),--g,
Polyunsaturated Fats,undifferentiated-Octadecatrienoic,0g,
Polyunsaturated Fats,Octadecatrienoic Acid (mixed isomers),--g,
Polyunsaturated Fats,Parinaric Acid (18:4),0g,
Polyunsaturated Fats,Eicosatrienoic Acid (20:3),--g,
Polyunsaturated Fats,Eicosatetraenoic Acid 20:4,0g,
Polyunsaturated Fats,Heneicosapentaenoic Acid 21:5,--g,
Polyunsaturated Fats,22:4,--g,
Trans Fats,Trans-Polyenoic Fats,--g,
Trans Fats,Trans-Monoenoic Fats,--g,
Trans Fats,trans-Palmitoleic Acid (16:1 trans),--g,
Trans Fats,trans-Oleic Acid (18:1 trans),--g,
Trans Fats,trans-Docosenoic Acid (22:1 trans),--g,
Trans Fats,trans-Octadecadienoic Acid (18:2 trans),--g,
Trans Fats,trans-trans-Octadecadienoic Acid (18:2 trans trans),--g,
Phytosterols (Plant Sterols),Total Phytosterols,--g,
Phytosterols (Plant Sterols),Stigmasterol,--g,
Phytosterols (Plant Sterols),Campesterol,--g,
Phytosterols (Plant Sterols),Beta-sitosterol,--g,
Essential Amino Acids,Histidine,17mg,2%
Essential Amino Acids,Isoleucine,22mg,2%
Essential Amino Acids,Leucine,37mg,1%
Essential Amino Acids,Lysine,29mg,1%
Essential Amino Acids,Methionine,5mg,1%
Essential Amino Acids,Phenylalanine,22mg,3%
Essential Amino Acids,Threonine,26mg,2%
Essential Amino Acids,Tryptophan,6mg,2%
Essential Amino Acids,Valine,28mg,2%
Conditionally Essential Amino Acids,Arginine,23mg,
Conditionally Essential Amino Acids,Cystine,7mg,2%
Conditionally Essential Amino Acids,Glycine,25mg,
Conditionally Essential Amino Acids,Proline,290mg,
Conditionally Essential Amino Acids,Tyrosine,14mg,2%
Non-Essential Amino Acids,Alanine,39mg,
Non-Essential Amino Acids,Aspartic acid,331mg,
Non-Essential Amino Acids,Betaine,--mg,
Non-Essential Amino Acids,Glutamic acid,66mg,
Non-Essential Amino Acids,Hydroxyproline,--mg,
Non-Essential Amino Acids,Serine,31mg,
