Categories,Name,Measurement,Daily Value
Macronutrients,Weight,62g,
Macronutrients,Calories (kcal),311,16%
Macronutrients,Fat,15.7g,20%
Macronutrients,Protein,4.6g,9%
Macronutrients,Carbohydrate,37.8g,14%
Macronutrients,Sugars,1.1g,2%
Macronutrients,Fiber,0.99g,4%
Macronutrients,Cholesterol,0mg,0%
Macronutrients,Saturated Fats,2.3g,12%
Macronutrients,Net-Carbs,36.8g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,74.4mg,6%
Minerals,"Iron, Fe",2.2mg,12%
Minerals,"Potassium, K",220.1mg,5%
Minerals,Magnesium,16.7mg,4%
Minerals,"Phosphorus, P",141.4mg,11%
Minerals,Sodium,133.9mg,6%
Minerals,"Zinc, Zn",0.42mg,4%
Minerals,"Copper, Cu",0.13mg,15%
Minerals,Manganese,0.34mg,15%
Minerals,"Selenium, Se",4.1mcg,7%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",0mcg,0%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),0.25mg,21%
Vitamins,Riboflavin (B2),0.21mg,16%
Vitamins,Niacin (B3),2.5mg,16%
Vitamins,Vitamin B5 (PA),0.17mg,3%
Vitamins,Vitamin B6,0.03mg,2%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),55.8mcg,14%
Vitamins,Folic acid,46.5mcg,12%
Vitamins,Food Folate,8.7mcg,2%
Vitamins,Folate DFE,88mcg,22%
Vitamins,Choline,8.6mg,2%
Vitamins,Vitamin B12,0mcg,0%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",0mcg,0%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",0mcg,0%
Vitamins,"Vitamin A, IU",0IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,6.8mcg,
Vitamins,Vitamin E,1.3mg,8%
Vitamins,Vitamin D,0mcg,0%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),0IU,0%
Vitamins,Vitamin K,3.9mcg,3%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,2.2g,
Other,Ash,2g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,1.43,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,6.597g,
Fats,Total Polyunsaturated,5.918g,
Fats,Omega 3s,0.406g,25%
Fats,Omega 6s,5.496g,32%
Fats,Omega 3 to Omega 6 Ratio,0.07,
Fats,Omega 6 to Omega 3 Ratio,13.53,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
Omega-6 Fats,Butyric (4:0),0g,
Omega-6 Fats,Caproic (6:0),0g,
Omega-6 Fats,Caprylic Acid (8:0),0g,
Omega-6 Fats,Capric Acid (10:0),0g,
Omega-6 Fats,Lauric Acid (12:0),0g,
Omega-6 Fats,Tridecanoic Acid (13:0),--g,
Omega-6 Fats,Myristic Acid (14:0),0.016g,
