Categories,Name,Measurement,Daily Value
Macronutrients,Weight,5g,
Macronutrients,Calories (kcal),30,1%
Macronutrients,Fat,2.2g,3%
Macronutrients,Protein,2.4g,5%
Macronutrients,Carbohydrate,0.06g,0%
Macronutrients,Sugars,0.03g,0%
Macronutrients,Fiber,0g,0%
Macronutrients,Cholesterol,81.5mg,27%
Macronutrients,Saturated Fats,0.75g,4%
Macronutrients,Net-Carbs,0.06g,
Macronutrients,Trans Fatty Acids,0.01g,
Minerals,Calcium,12.2mg,1%
Minerals,"Iron, Fe",0.36mg,2%
Minerals,"Potassium, K",27mg,1%
Minerals,Magnesium,1.7mg,0%
Minerals,"Phosphorus, P",31.5mg,3%
Minerals,Sodium,23.8mg,1%
Minerals,"Zinc, Zn",0.16mg,1%
Minerals,"Copper, Cu",0.01mg,1%
Minerals,Manganese,0mg,0%
Minerals,"Selenium, Se",8.2mcg,15%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",13.7mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",15.1mcg,2%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),0.01mg,1%
Vitamins,Riboflavin (B2),0.1mg,8%
Vitamins,Niacin (B3),0.02mg,0%
Vitamins,Vitamin B5 (PA),0.28mg,6%
Vitamins,Vitamin B6,0.02mg,1%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),6mcg,1%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,6mcg,1%
Vitamins,Folate DFE,6mcg,1%
Vitamins,Choline,63.3mg,12%
Vitamins,Vitamin B12,0.15mcg,6%
Vitamins,Retinol,15mcg,
Vitamins,"Carotene, beta",0mcg,0%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",1.8mcg,0%
Vitamins,"Vitamin A, IU",51.5IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,41.8mcg,
Vitamins,Vitamin E,0.19mg,1%
Vitamins,Vitamin D,0.42mcg,2%
Vitamins,Vitamin D2,0mcg,
Vitamins,Vitamin D3,0.42mcg,
Vitamins,Vitamin D (IU),16.6IU,2%
Vitamins,Vitamin K,0.06mcg,0%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,0.14g,
Other,Ash,0.21g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,1.57,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,0g,
Carbs & Sugars,Glucose (Dextrose),0.03g,
Carbs & Sugars,Fructose,0g,
Carbs & Sugars,Lactose,0g,
Carbs & Sugars,Maltose,0g,
Carbs & Sugars,Galactose,0g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,0.836g,
Fats,Total Polyunsaturated,0.416g,
Fats,Omega 3s,0.02g,1%
Fats,Omega 6s,0.356g,2%
Fats,Omega 3 to Omega 6 Ratio,0.06,
Fats,Omega 6 to Omega 3 Ratio,18.14,
Omega 3 Fats,alpha-Linolenic Acid (ALA),0.009g,1%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0.001g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0.01g,
