Categories,Name,Measurement,Daily Value
Macronutrients,Weight,303g,
Macronutrients,Calories (kcal),409,20%
Macronutrients,Fat,18g,23%
Macronutrients,Protein,55.4g,111%
Macronutrients,Carbohydrate,2.8g,1%
Macronutrients,Sugars,0g,0%
Macronutrients,Fiber,0g,0%
Macronutrients,Cholesterol,233.3mg,78%
Macronutrients,Saturated Fats,7g,35%
Macronutrients,Net-Carbs,2.8g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,33.3mg,3%
Minerals,"Iron, Fe",7.3mg,40%
Minerals,"Potassium, K",821.1mg,17%
Minerals,Magnesium,57.6mg,14%
Minerals,"Phosphorus, P",615.1mg,49%
Minerals,Sodium,224.2mg,9%
Minerals,"Zinc, Zn",5.8mg,52%
Minerals,"Copper, Cu",0.77mg,85%
Minerals,Manganese,0.06mg,3%
Minerals,"Selenium, Se",42.1mcg,77%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",72.7mcg,8%
Vitamins,Vitamin C,17.6mg,20%
Vitamins,Thiamin (B1),1.1mg,91%
Vitamins,Riboflavin (B2),1.4mg,105%
Vitamins,Niacin (B3),16.1mg,100%
Vitamins,Vitamin B5 (PA),4.8mg,97%
Vitamins,Vitamin B6,1mg,61%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),75.8mcg,19%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,75.8mcg,19%
Vitamins,Folate DFE,75.8mcg,19%
Vitamins,Choline,162.4mg,30%
Vitamins,Vitamin B12,1.2mcg,51%
Vitamins,Retinol,72.7mcg,
Vitamins,"Carotene, beta",0mcg,0%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",0mcg,0%
Vitamins,"Vitamin A, IU",239.4IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,0mcg,
Vitamins,Vitamin E,2.1mg,14%
Vitamins,Vitamin D,0.3mcg,2%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,0.3mcg,
Vitamins,Vitamin D (IU),9.1IU,1%
Vitamins,Vitamin K,8.5mcg,7%
Vitamins,Vitamin K1,0mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,223.5g,
Other,Ash,3g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,30.62,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,4.666g,
Fats,Total Polyunsaturated,2.273g,
Fats,Omega 3s,0.242g,15%
Fats,Omega 6s,2.03g,12%
Fats,Omega 3 to Omega 6 Ratio,0.12,
Fats,Omega 6 to Omega 3 Ratio,8.38,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
