Categories,Name,Measurement,Daily Value
Macronutrients,Weight,61g,
Macronutrients,Calories (kcal),94,5%
Macronutrients,Fat,7.1g,9%
Macronutrients,Protein,6.4g,13%
Macronutrients,Carbohydrate,0.39g,0%
Macronutrients,Sugars,0.19g,0%
Macronutrients,Fiber,0g,0%
Macronutrients,Cholesterol,190.9mg,64%
Macronutrients,Saturated Fats,2g,10%
Macronutrients,Net-Carbs,0.39g,
Macronutrients,Trans Fatty Acids,0.43g,
Minerals,Calcium,29.3mg,2%
Minerals,"Iron, Fe",0.9mg,5%
Minerals,"Potassium, K",71.4mg,2%
Minerals,Magnesium,6.7mg,2%
Minerals,"Phosphorus, P",101.9mg,8%
Minerals,Sodium,94.6mg,4%
Minerals,"Zinc, Zn",0.66mg,6%
Minerals,"Copper, Cu",0.04mg,4%
Minerals,Manganese,0.01mg,1%
Minerals,"Selenium, Se",15.7mcg,29%
Minerals,"Fluoride, F",12.9mcg,0%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",104.9mcg,12%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),0.02mg,2%
Vitamins,Riboflavin (B2),0.24mg,18%
Vitamins,Niacin (B3),0.04mg,0%
Vitamins,Vitamin B5 (PA),0.79mg,16%
Vitamins,Vitamin B6,0.09mg,5%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),23.8mcg,6%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,23.8mcg,6%
Vitamins,Folate DFE,23.8mcg,6%
Vitamins,Choline,151mg,27%
Vitamins,Vitamin B12,0.46mcg,19%
Vitamins,Retinol,103.1mcg,
Vitamins,"Carotene, beta",17.1mcg,0%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",4.9mcg,0%
Vitamins,"Vitamin A, IU",376.4IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,258mcg,
Vitamins,Vitamin E,0.79mg,5%
Vitamins,Vitamin D,1mcg,5%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,1mcg,
Vitamins,Vitamin D (IU),42.1IU,5%
Vitamins,Vitamin K,2.7mcg,2%
Vitamins,Vitamin K1,0.06mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,46.4g,
Other,Ash,0.62g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,4.87,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,0g,
Carbs & Sugars,Glucose (Dextrose),0.19g,
Carbs & Sugars,Fructose,0g,
Carbs & Sugars,Lactose,0g,
Carbs & Sugars,Maltose,0g,
Carbs & Sugars,Galactose,0g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,2.954g,
Fats,Total Polyunsaturated,1.654g,
Fats,Omega 3s,0.081g,5%
Fats,Omega 6s,1.415g,8%
Fats,Omega 3 to Omega 6 Ratio,0.06,
Fats,Omega 6 to Omega 3 Ratio,17.44,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0.004g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0.03g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,0.009g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
Omega-6 Fats,Butyric (4:0),0.002g,
Omega-6 Fats,Caproic (6:0),0g,
Omega-6 Fats,Caprylic Acid (8:0),0.002g,
Omega-6 Fats,Capric Acid (10:0),0.003g,
Omega-6 Fats,Lauric Acid (12:0),0g,
Omega-6 Fats,Tridecanoic Acid (13:0),--g,
Omega-6 Fats,Myristic Acid (14:0),0.018g,
Omega-6 Fats,Pentadecanoic Acid (15:0),0.005g,
Omega-6 Fats,Palmitic Acid (16:0),1.378g,
Omega-6 Fats,Margaric Acid (17:0),0.013g,
Omega-6 Fats,Stearic Acid (18:0),0.587g,
Omega-6 Fats,Arachidic Acid (20:0),0.009g,
Omega-6 Fats,Behenic Acid (22:0),0.005g,
Omega-6 Fats,Lignoceric Acid (24:0),0.002g,
Monounsaturated Fats,Myristoleic Acid (14:1),0.004g,
Monounsaturated Fats,Pentadecenoic Acid (15:1),0g,
Monounsaturated Fats,Palmitoleic Acid (16:1),0.104g,
Monounsaturated Fats,cis-Palmitoleic Acid (16:1 cis),--g,
Monounsaturated Fats,Heptadecenoic Acid (17:1),0.007g,
Monounsaturated Fats,Oleic Acid (18:1),2.822g,
Monounsaturated Fats,cis-Oleic Acid (18:1 cis),--g,
Monounsaturated Fats,cis-Vaccenic acid,--g,
Monounsaturated Fats,Gadoleic Acid (20:1),0.018g,
Monounsaturated Fats,Docosenoic Acid (22:1),0g,
Monounsaturated Fats,cis-Docosenoic Acid (22:1 cis),--g,
Monounsaturated Fats,cis-Tetracosenoic Acid (24:1 cis),0g,
Polyunsaturated Fats,Octadecadienoic Acid (18:2),1.415g,
Polyunsaturated Fats,Conjugated Linoleic Acid (CLAs),--g,
Polyunsaturated Fats,i-Octadecadienoic Acid (18:2 mixed isomers),--g,
Polyunsaturated Fats,undifferentiated-Octadecatrienoic,0.081g,
Polyunsaturated Fats,Octadecatrienoic Acid (mixed isomers),--g,
Polyunsaturated Fats,Parinaric Acid (18:4),0g,
Polyunsaturated Fats,Eicosatrienoic Acid (20:3),0.012g,
Polyunsaturated Fats,Eicosatetraenoic Acid 20:4,0.096g,
Polyunsaturated Fats,Heneicosapentaenoic Acid 21:5,--g,
Polyunsaturated Fats,22:4,0.007g,
Trans Fats,Trans-Polyenoic Fats,--g,
Trans Fats,Trans-Monoenoic Fats,--g,
Trans Fats,trans-Palmitoleic Acid (16:1 trans),--g,
Trans Fats,trans-Oleic Acid (18:1 trans),--g,
Trans Fats,trans-Docosenoic Acid (22:1 trans),--g,
Trans Fats,trans-Octadecadienoic Acid (18:2 trans),--g,
Trans Fats,trans-trans-Octadecadienoic Acid (18:2 trans trans),--g,
Phytosterols (Plant Sterols),Total Phytosterols,0.006g,
Phytosterols (Plant Sterols),Stigmasterol,--g,
Phytosterols (Plant Sterols),Campesterol,--g,
Phytosterols (Plant Sterols),Beta-sitosterol,--g,
Essential Amino Acids,Histidine,159mg,23%
Essential Amino Acids,Isoleucine,345mg,25%
Essential Amino Acids,Leucine,557mg,20%
