Categories,Name,Measurement,Daily Value
Macronutrients,Weight,193g,
Macronutrients,Calories (kcal),168,8%
Macronutrients,Fat,1.2g,2%
Macronutrients,Protein,36.7g,73%
Macronutrients,Carbohydrate,0g,0%
Macronutrients,Sugars,--g,--%
Macronutrients,Fiber,0g,0%
Macronutrients,Cholesterol,77.2mg,26%
Macronutrients,Saturated Fats,0.23g,1%
Macronutrients,Net-Carbs,0g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,65.6mg,5%
Minerals,"Iron, Fe",1.3mg,7%
Minerals,"Potassium, K",731.5mg,16%
Minerals,Magnesium,121.6mg,29%
Minerals,"Phosphorus, P",382.1mg,31%
Minerals,Sodium,260.6mg,11%
Minerals,"Zinc, Zn",1.5mg,14%
Minerals,"Copper, Cu",0.21mg,24%
Minerals,Manganese,0.06mg,3%
Minerals,"Selenium, Se",70.4mcg,128%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",57.9mcg,6%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),0.21mg,18%
Vitamins,Riboflavin (B2),0.37mg,28%
Vitamins,Niacin (B3),4.4mg,28%
Vitamins,Vitamin B5 (PA),0.62mg,12%
Vitamins,Vitamin B6,0.59mg,35%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),13.5mcg,3%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,13.5mcg,3%
Vitamins,Folate DFE,13.5mcg,3%
Vitamins,Choline,--mg,--%
Vitamins,Vitamin B12,1.1mcg,45%
Vitamins,Retinol,57.9mcg,
Vitamins,"Carotene, beta",--mcg,--%
Vitamins,"Carotene, alpha",--mcg,--%
Vitamins,"Cryptoxanthin, beta",--mcg,--%
Vitamins,"Vitamin A, IU",193IU,
Vitamins,Lycopene,--mcg,
Vitamins,Lut + Zeaxanthin,--mcg,
Vitamins,Vitamin E,--mg,--%
Vitamins,Vitamin D,--mcg,--%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),--IU,--%
Vitamins,Vitamin K,--mcg,--%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,153.7g,
Other,Ash,3g,
Other,Alcohol,--g,
Other,Caffeine,--mg,
Other,Theobromine,--mg,
Other,PRAL score,12.61,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,0.174g,
Fats,Total Polyunsaturated,0.425g,
Fats,Omega 3s,--g,--%
Fats,Omega 6s,--g,--%
Fats,Omega 3 to Omega 6 Ratio,--,
Fats,Omega 6 to Omega 3 Ratio,--,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),--g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),--g,
