Categories,Name,Measurement,Daily Value
Macronutrients,Weight,85g,
Macronutrients,Calories (kcal),99,5%
Macronutrients,Fat,3.7g,5%
Macronutrients,Protein,15.5g,31%
Macronutrients,Carbohydrate,0g,0%
Macronutrients,Sugars,--g,--%
Macronutrients,Fiber,0g,0%
Macronutrients,Cholesterol,19.6mg,7%
Macronutrients,Saturated Fats,0.79g,4%
Macronutrients,Net-Carbs,0g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,9.4mg,1%
Minerals,"Iron, Fe",0.72mg,4%
Minerals,"Potassium, K",148.8mg,3%
Minerals,Magnesium,15.3mg,4%
Minerals,"Phosphorus, P",139.4mg,11%
Minerals,Sodium,1700mg,71%
Minerals,"Zinc, Zn",0.26mg,2%
Minerals,"Copper, Cu",0.2mg,22%
Minerals,Manganese,0.01mg,1%
Minerals,"Selenium, Se",32.4mcg,59%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",22.1mcg,2%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),0.02mg,2%
Vitamins,Riboflavin (B2),0.09mg,7%
Vitamins,Niacin (B3),4mg,25%
Vitamins,Vitamin B5 (PA),0.74mg,15%
Vitamins,Vitamin B6,0.24mg,14%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),1.7mcg,0%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,1.7mcg,0%
Vitamins,Folate DFE,1.7mcg,0%
Vitamins,Choline,--mg,--%
Vitamins,Vitamin B12,2.8mcg,115%
Vitamins,Retinol,22.1mcg,
Vitamins,"Carotene, beta",--mcg,--%
Vitamins,"Carotene, alpha",--mcg,--%
Vitamins,"Cryptoxanthin, beta",--mcg,--%
Vitamins,"Vitamin A, IU",74.8IU,
Vitamins,Lycopene,--mcg,
Vitamins,Lut + Zeaxanthin,--mcg,
Vitamins,Vitamin E,--mg,--%
Vitamins,Vitamin D,--mcg,--%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),--IU,--%
Vitamins,Vitamin K,--mcg,--%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,61.2g,
Other,Ash,2g,
Other,Alcohol,--g,
Other,Caffeine,--mg,
Other,Theobromine,--mg,
Other,PRAL score,9.11,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,1.72g,
Fats,Total Polyunsaturated,0.846g,
Fats,Omega 3s,0.445g,28%
Fats,Omega 6s,0.401g,2%
Fats,Omega 3 to Omega 6 Ratio,1.11,
Fats,Omega 6 to Omega 3 Ratio,0.9,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0.156g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0.062g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0.227g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
Omega-6 Fats,Butyric (4:0),--g,
Omega-6 Fats,Caproic (6:0),--g,
Omega-6 Fats,Caprylic Acid (8:0),--g,
Omega-6 Fats,Capric Acid (10:0),--g,
Omega-6 Fats,Lauric Acid (12:0),--g,
Omega-6 Fats,Tridecanoic Acid (13:0),--g,
Omega-6 Fats,Myristic Acid (14:0),0.156g,
Omega-6 Fats,Pentadecanoic Acid (15:0),--g,
Omega-6 Fats,Palmitic Acid (16:0),0.476g,
Omega-6 Fats,Margaric Acid (17:0),--g,
Omega-6 Fats,Stearic Acid (18:0),0.158g,
Omega-6 Fats,Arachidic Acid (20:0),--g,
Omega-6 Fats,Behenic Acid (22:0),--g,
Omega-6 Fats,Lignoceric Acid (24:0),--g,
Monounsaturated Fats,Myristoleic Acid (14:1),--g,
Monounsaturated Fats,Pentadecenoic Acid (15:1),--g,
Monounsaturated Fats,Palmitoleic Acid (16:1),0.259g,
Monounsaturated Fats,cis-Palmitoleic Acid (16:1 cis),--g,
Monounsaturated Fats,Heptadecenoic Acid (17:1),--g,
Monounsaturated Fats,Oleic Acid (18:1),0.807g,
Monounsaturated Fats,cis-Oleic Acid (18:1 cis),--g,
Monounsaturated Fats,cis-Vaccenic acid,--g,
Monounsaturated Fats,Gadoleic Acid (20:1),0.398g,
Monounsaturated Fats,Docosenoic Acid (22:1),0.256g,
Monounsaturated Fats,cis-Docosenoic Acid (22:1 cis),--g,
Monounsaturated Fats,cis-Tetracosenoic Acid (24:1 cis),--g,
Polyunsaturated Fats,Octadecadienoic Acid (18:2),0.401g,
Polyunsaturated Fats,Conjugated Linoleic Acid (CLAs),--g,
Polyunsaturated Fats,i-Octadecadienoic Acid (18:2 mixed isomers),--g,
Polyunsaturated Fats,undifferentiated-Octadecatrienoic,--g,
Polyunsaturated Fats,Octadecatrienoic Acid (mixed isomers),--g,
Polyunsaturated Fats,Parinaric Acid (18:4),--g,
Polyunsaturated Fats,Eicosatrienoic Acid (20:3),--g,
Polyunsaturated Fats,Eicosatetraenoic Acid 20:4,--g,
Polyunsaturated Fats,Heneicosapentaenoic Acid 21:5,--g,
Polyunsaturated Fats,22:4,--g,
Trans Fats,Trans-Polyenoic Fats,--g,
Trans Fats,Trans-Monoenoic Fats,--g,
