Categories,Name,Measurement,Daily Value
Macronutrients,Weight,454g,
Macronutrients,Calories (kcal),322,16%
Macronutrients,Fat,1.3g,2%
Macronutrients,Protein,18.5g,37%
Macronutrients,Carbohydrate,60.5g,22%
Macronutrients,Sugars,--g,--%
Macronutrients,Fiber,16.3g,58%
Macronutrients,Cholesterol,0mg,0%
Macronutrients,Saturated Fats,0.3g,1%
Macronutrients,Net-Carbs,44.2g,
Macronutrients,Trans Fatty Acids,0g,
Minerals,Calcium,127.1mg,10%
Minerals,"Iron, Fe",7.3mg,41%
Minerals,"Potassium, K",1293.9mg,28%
Minerals,Magnesium,154.4mg,37%
Minerals,"Phosphorus, P",322.3mg,26%
Minerals,Sodium,1144.1mg,48%
Minerals,"Zinc, Zn",2.9mg,26%
Minerals,"Copper, Cu",0.74mg,82%
Minerals,Manganese,3.2mg,138%
Minerals,"Selenium, Se",5mcg,9%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",36.3mcg,4%
Vitamins,Vitamin C,33.1mg,37%
Vitamins,Thiamin (B1),0.13mg,11%
Vitamins,Riboflavin (B2),0.2mg,15%
Vitamins,Niacin (B3),2.4mg,15%
Vitamins,Vitamin B5 (PA),0.43mg,9%
Vitamins,Vitamin B6,0.28mg,17%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),72.6mcg,18%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,72.6mcg,18%
Vitamins,Folate DFE,72.6mcg,18%
Vitamins,Choline,--mg,--%
Vitamins,Vitamin B12,0mcg,0%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",--mcg,--%
Vitamins,"Carotene, alpha",--mcg,--%
Vitamins,"Cryptoxanthin, beta",--mcg,--%
Vitamins,"Vitamin A, IU",681IU,
Vitamins,Lycopene,--mcg,
Vitamins,Lut + Zeaxanthin,--mcg,
Vitamins,Vitamin E,--mg,--%
Vitamins,Vitamin D,0mcg,0%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),0IU,0%
Vitamins,Vitamin K,--mcg,--%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,368.5g,
Other,Ash,5g,
Other,Alcohol,0g,
Other,Caffeine,--mg,
Other,Theobromine,--mg,
Other,PRAL score,-12.03,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,0.073g,
Fats,Total Polyunsaturated,0.631g,
Fats,Omega 3s,0.204g,13%
Fats,Omega 6s,0.427g,3%
