Categories,Name,Measurement,Daily Value
Macronutrients,Weight,38g,
Macronutrients,Calories (kcal),116,6%
Macronutrients,Fat,9.7g,12%
Macronutrients,Protein,5.8g,12%
Macronutrients,Carbohydrate,0.8g,0%
Macronutrients,Sugars,--g,--%
Macronutrients,Fiber,0g,0%
Macronutrients,Cholesterol,66.1mg,22%
Macronutrients,Saturated Fats,3.4g,17%
Macronutrients,Net-Carbs,0.8g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,3mg,0%
Minerals,"Iron, Fe",4.1mg,23%
Minerals,"Potassium, K",85.9mg,2%
Minerals,Magnesium,4.6mg,1%
Minerals,"Phosphorus, P",78.7mg,6%
Minerals,Sodium,465.5mg,19%
Minerals,"Zinc, Zn",1.4mg,13%
Minerals,"Copper, Cu",0.15mg,16%
Minerals,Manganese,0.08mg,3%
Minerals,"Selenium, Se",13.9mcg,25%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",1995.8mcg,222%
Vitamins,Vitamin C,1.1mg,1%
Vitamins,Thiamin (B1),0.08mg,7%
Vitamins,Riboflavin (B2),0.85mg,65%
Vitamins,Niacin (B3),4.5mg,28%
Vitamins,Vitamin B5 (PA),1.3mg,27%
Vitamins,Vitamin B6,0.18mg,11%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),39.5mcg,10%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,39.5mcg,10%
Vitamins,Folate DFE,39.5mcg,10%
Vitamins,Choline,--mg,--%
Vitamins,Vitamin B12,9.3mcg,389%
Vitamins,Retinol,1995.8mcg,
Vitamins,"Carotene, beta",--mcg,--%
Vitamins,"Carotene, alpha",--mcg,--%
Vitamins,"Cryptoxanthin, beta",--mcg,--%
Vitamins,"Vitamin A, IU",6646.2IU,
Vitamins,Lycopene,--mcg,
Vitamins,Lut + Zeaxanthin,--mcg,
Vitamins,Vitamin E,--mg,--%
Vitamins,Vitamin D,--mcg,--%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),--IU,--%
Vitamins,Vitamin K,--mcg,--%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,20.4g,
Other,Ash,1g,
Other,Alcohol,--g,
Other,Caffeine,--mg,
Other,Theobromine,--mg,
Other,PRAL score,3.77,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,4.659g,
Fats,Total Polyunsaturated,1.3g,
Fats,Omega 3s,0.125g,8%
Fats,Omega 6s,1.174g,7%
Fats,Omega 3 to Omega 6 Ratio,0.11,
Fats,Omega 6 to Omega 3 Ratio,9.36,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
