Categories,Name,Measurement,Daily Value
Macronutrients,Weight,100g,
Macronutrients,Calories (kcal),379,19%
Macronutrients,Fat,4.8g,6%
Macronutrients,Protein,13.9g,28%
Macronutrients,Carbohydrate,70.1g,25%
Macronutrients,Sugars,9.6g,19%
Macronutrients,Fiber,3.2g,11%
Macronutrients,Cholesterol,7mg,2%
Macronutrients,Saturated Fats,1.2g,6%
Macronutrients,Net-Carbs,66.9g,
Macronutrients,Trans Fatty Acids,0g,
Minerals,Calcium,146mg,11%
Minerals,"Iron, Fe",2.8mg,15%
Minerals,"Potassium, K",347mg,7%
Minerals,Magnesium,49mg,12%
Minerals,"Phosphorus, P",331mg,26%
Minerals,Sodium,680mg,28%
Minerals,"Zinc, Zn",1.2mg,11%
Minerals,"Copper, Cu",0.19mg,21%
Minerals,Manganese,0.7mg,30%
Minerals,"Selenium, Se",47.5mcg,86%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",18mcg,2%
Vitamins,Vitamin C,0.7mg,1%
Vitamins,Thiamin (B1),1mg,87%
Vitamins,Riboflavin (B2),0.63mg,48%
Vitamins,Niacin (B3),3.9mg,24%
Vitamins,Vitamin B5 (PA),1.3mg,25%
Vitamins,Vitamin B6,0.14mg,8%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),204mcg,51%
Vitamins,Folic acid,187mcg,47%
Vitamins,Food Folate,17mcg,4%
Vitamins,Folate DFE,334mcg,84%
Vitamins,Choline,36mg,7%
Vitamins,Vitamin B12,0.77mcg,32%
Vitamins,Retinol,17mcg,
Vitamins,"Carotene, beta",5mcg,0%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",0mcg,0%
Vitamins,"Vitamin A, IU",66IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,15mcg,
Vitamins,Vitamin E,0.13mg,1%
Vitamins,Vitamin D,0mcg,0%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),0IU,0%
Vitamins,Vitamin K,0.2mcg,0%
Vitamins,Vitamin K1,0mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,8.1g,
Other,Ash,3g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,8.53,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,0.32g,
Carbs & Sugars,Glucose (Dextrose),0g,
Carbs & Sugars,Fructose,0g,
Carbs & Sugars,Lactose,6.9g,
Carbs & Sugars,Maltose,2.4g,
Carbs & Sugars,Galactose,0g,
Carbs & Sugars,Starch,52.6g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,0.665g,
Fats,Total Polyunsaturated,0.813g,
Fats,Omega 3s,0g,0%
Fats,Omega 6s,0.813g,5%
Fats,Omega 3 to Omega 6 Ratio,0,
Fats,Omega 6 to Omega 3 Ratio,--,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
Omega-6 Fats,Butyric (4:0),0g,
Omega-6 Fats,Caproic (6:0),0g,
Omega-6 Fats,Caprylic Acid (8:0),0g,
Omega-6 Fats,Capric Acid (10:0),0g,
Omega-6 Fats,Lauric Acid (12:0),0g,
Omega-6 Fats,Tridecanoic Acid (13:0),--g,
Omega-6 Fats,Myristic Acid (14:0),0.164g,
Omega-6 Fats,Pentadecanoic Acid (15:0),0g,
Omega-6 Fats,Palmitic Acid (16:0),0.77g,
Omega-6 Fats,Margaric Acid (17:0),0g,
Omega-6 Fats,Stearic Acid (18:0),0.217g,
Omega-6 Fats,Arachidic Acid (20:0),0g,
Omega-6 Fats,Behenic Acid (22:0),0g,
Omega-6 Fats,Lignoceric Acid (24:0),0g,
Monounsaturated Fats,Myristoleic Acid (14:1),0g,
Monounsaturated Fats,Pentadecenoic Acid (15:1),--g,
Monounsaturated Fats,Palmitoleic Acid (16:1),0g,
Monounsaturated Fats,cis-Palmitoleic Acid (16:1 cis),--g,
Monounsaturated Fats,Heptadecenoic Acid (17:1),--g,
Monounsaturated Fats,Oleic Acid (18:1),0.665g,
Monounsaturated Fats,cis-Oleic Acid (18:1 cis),--g,
Monounsaturated Fats,cis-Vaccenic acid,--g,
Monounsaturated Fats,Gadoleic Acid (20:1),0g,
Monounsaturated Fats,Docosenoic Acid (22:1),0g,
Monounsaturated Fats,cis-Docosenoic Acid (22:1 cis),--g,
Monounsaturated Fats,cis-Tetracosenoic Acid (24:1 cis),--g,
Polyunsaturated Fats,Octadecadienoic Acid (18:2),0.813g,
Polyunsaturated Fats,Conjugated Linoleic Acid (CLAs),--g,
Polyunsaturated Fats,i-Octadecadienoic Acid (18:2 mixed isomers),--g,
Polyunsaturated Fats,undifferentiated-Octadecatrienoic,0g,
Polyunsaturated Fats,Octadecatrienoic Acid (mixed isomers),--g,
Polyunsaturated Fats,Parinaric Acid (18:4),0g,
Polyunsaturated Fats,Eicosatrienoic Acid (20:3),--g,
