Categories,Name,Measurement,Daily Value
Macronutrients,Weight,129g,
Macronutrients,Calories (kcal),57,3%
Macronutrients,Fat,0.41g,1%
Macronutrients,Protein,1.4g,3%
Macronutrients,Carbohydrate,13.6g,5%
Macronutrients,Sugars,10.2g,20%
Macronutrients,Fiber,2.2g,8%
Macronutrients,Cholesterol,0mg,0%
Macronutrients,Saturated Fats,0.03g,0%
Macronutrients,Net-Carbs,11.4g,
Macronutrients,Trans Fatty Acids,0g,
Minerals,Calcium,7.7mg,1%
Minerals,"Iron, Fe",0.36mg,2%
Minerals,"Potassium, K",259.3mg,6%
Minerals,Magnesium,11.6mg,3%
Minerals,"Phosphorus, P",33.5mg,3%
Minerals,Sodium,0mg,0%
Minerals,"Zinc, Zn",0.22mg,2%
Minerals,"Copper, Cu",0.11mg,12%
Minerals,Manganese,0.07mg,3%
Minerals,"Selenium, Se",0mcg,0%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",21.9mcg,2%
Vitamins,Vitamin C,7mg,8%
Vitamins,Thiamin (B1),0.04mg,4%
Vitamins,Riboflavin (B2),0.03mg,3%
Vitamins,Niacin (B3),1.5mg,9%
Vitamins,Vitamin B5 (PA),0.24mg,5%
Vitamins,Vitamin B6,0.03mg,2%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),6.5mcg,2%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,6.5mcg,2%
Vitamins,Folate DFE,6.5mcg,2%
Vitamins,Choline,8mg,1%
Vitamins,Vitamin B12,0mcg,0%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",193.5mcg,2%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",126.4mcg,1%
Vitamins,"Vitamin A, IU",428.3IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,167.7mcg,
Vitamins,Vitamin E,0.99mg,7%
Vitamins,Vitamin D,0mcg,0%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),0IU,0%
Vitamins,Vitamin K,2.8mcg,2%
Vitamins,Vitamin K1,0mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,113g,
Other,Ash,0.62g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,-3.97,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,6.3g,
Carbs & Sugars,Glucose (Dextrose),2g,
Carbs & Sugars,Fructose,1.8g,
Carbs & Sugars,Lactose,0g,
Carbs & Sugars,Maltose,0g,
Carbs & Sugars,Galactose,0g,
Carbs & Sugars,Starch,0.09g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,0.114g,
Fats,Total Polyunsaturated,0.146g,
Fats,Omega 3s,0.003g,0%
Fats,Omega 6s,0.143g,1%
Fats,Omega 3 to Omega 6 Ratio,0.02,
Fats,Omega 6 to Omega 3 Ratio,55.5,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
Omega-6 Fats,Butyric (4:0),0g,
Omega-6 Fats,Caproic (6:0),0g,
Omega-6 Fats,Caprylic Acid (8:0),0g,
Omega-6 Fats,Capric Acid (10:0),0g,
Omega-6 Fats,Lauric Acid (12:0),0g,
Omega-6 Fats,Tridecanoic Acid (13:0),--g,
Omega-6 Fats,Myristic Acid (14:0),0g,
Omega-6 Fats,Pentadecanoic Acid (15:0),--g,
Omega-6 Fats,Palmitic Acid (16:0),0.03g,
Omega-6 Fats,Margaric Acid (17:0),--g,
Omega-6 Fats,Stearic Acid (18:0),0.003g,
Omega-6 Fats,Arachidic Acid (20:0),--g,
Omega-6 Fats,Behenic Acid (22:0),--g,
Omega-6 Fats,Lignoceric Acid (24:0),--g,
Monounsaturated Fats,Myristoleic Acid (14:1),--g,
Monounsaturated Fats,Pentadecenoic Acid (15:1),--g,
Monounsaturated Fats,Palmitoleic Acid (16:1),0.003g,
Monounsaturated Fats,cis-Palmitoleic Acid (16:1 cis),--g,
Monounsaturated Fats,Heptadecenoic Acid (17:1),--g,
Monounsaturated Fats,Oleic Acid (18:1),0.111g,
Monounsaturated Fats,cis-Oleic Acid (18:1 cis),--g,
Monounsaturated Fats,cis-Vaccenic acid,--g,
Monounsaturated Fats,Gadoleic Acid (20:1),0g,
Monounsaturated Fats,Docosenoic Acid (22:1),0g,
Monounsaturated Fats,cis-Docosenoic Acid (22:1 cis),--g,
