Categories,Name,Measurement,Daily Value
Macronutrients,Weight,100g,
Macronutrients,Calories (kcal),710,36%
Macronutrients,Fat,74.3g,95%
Macronutrients,Protein,9.5g,19%
Macronutrients,Carbohydrate,13.6g,5%
Macronutrients,Sugars,4.1g,8%
Macronutrients,Fiber,9.4g,34%
Macronutrients,Cholesterol,0mg,0%
Macronutrients,Saturated Fats,6.3g,31%
Macronutrients,Net-Carbs,4.2g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,72mg,6%
Minerals,"Iron, Fe",2.8mg,16%
Minerals,"Potassium, K",424mg,9%
Minerals,Magnesium,132mg,31%
Minerals,"Phosphorus, P",293mg,23%
Minerals,Sodium,383mg,16%
Minerals,"Zinc, Zn",5.1mg,46%
Minerals,"Copper, Cu",1.2mg,130%
Minerals,Manganese,3.9mg,171%
Minerals,"Selenium, Se",4mcg,7%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",7mcg,1%
Vitamins,Vitamin C,0.7mg,1%
Vitamins,Thiamin (B1),0.45mg,38%
Vitamins,Riboflavin (B2),0.11mg,8%
Vitamins,Niacin (B3),1.2mg,7%
Vitamins,Vitamin B5 (PA),0.7mg,14%
Vitamins,Vitamin B6,0.19mg,11%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),16mcg,4%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,16mcg,4%
Vitamins,Folate DFE,16mcg,4%
Vitamins,Choline,--mg,--%
Vitamins,Vitamin B12,0mcg,0%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",84mcg,1%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",--mcg,--%
Vitamins,"Vitamin A, IU",140IU,
Vitamins,Lycopene,--mcg,
Vitamins,Lut + Zeaxanthin,--mcg,
Vitamins,Vitamin E,1.3mg,9%
Vitamins,Vitamin D,0mcg,0%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),0IU,0%
Vitamins,Vitamin K,--mcg,--%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,1.1g,
Other,Ash,2g,
Other,Alcohol,--g,
Other,Caffeine,--mg,
Other,Theobromine,--mg,
Other,PRAL score,2.14,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,4g,
Carbs & Sugars,Glucose (Dextrose),0.04g,
Carbs & Sugars,Fructose,0.04g,
Carbs & Sugars,Lactose,0g,
Carbs & Sugars,Maltose,0g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,0.24g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,43.957g,
Fats,Total Polyunsaturated,20.572g,
Fats,Omega 3s,0.994g,62%
Fats,Omega 6s,19.578g,115%
Fats,Omega 3 to Omega 6 Ratio,0.05,
Fats,Omega 6 to Omega 3 Ratio,19.7,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,0g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
Omega-6 Fats,Butyric (4:0),0g,
Omega-6 Fats,Caproic (6:0),0g,
Omega-6 Fats,Caprylic Acid (8:0),0g,
Omega-6 Fats,Capric Acid (10:0),0g,
Omega-6 Fats,Lauric Acid (12:0),0g,
Omega-6 Fats,Tridecanoic Acid (13:0),0g,
Omega-6 Fats,Myristic Acid (14:0),0g,
Omega-6 Fats,Pentadecanoic Acid (15:0),0g,
Omega-6 Fats,Palmitic Acid (16:0),4.387g,
Omega-6 Fats,Margaric Acid (17:0),0g,
Omega-6 Fats,Stearic Acid (18:0),1.825g,
Omega-6 Fats,Arachidic Acid (20:0),0.071g,
Omega-6 Fats,Behenic Acid (22:0),0g,
Omega-6 Fats,Lignoceric Acid (24:0),0g,
Monounsaturated Fats,Myristoleic Acid (14:1),0g,
Monounsaturated Fats,Pentadecenoic Acid (15:1),--g,
Monounsaturated Fats,Palmitoleic Acid (16:1),0g,
Monounsaturated Fats,cis-Palmitoleic Acid (16:1 cis),--g,
Monounsaturated Fats,Heptadecenoic Acid (17:1),--g,
Monounsaturated Fats,Oleic Acid (18:1),43.743g,
Monounsaturated Fats,cis-Oleic Acid (18:1 cis),--g,
Monounsaturated Fats,cis-Vaccenic acid,--g,
Monounsaturated Fats,Gadoleic Acid (20:1),0.214g,
Monounsaturated Fats,Docosenoic Acid (22:1),0g,
Monounsaturated Fats,cis-Docosenoic Acid (22:1 cis),--g,
Monounsaturated Fats,cis-Tetracosenoic Acid (24:1 cis),0g,
Polyunsaturated Fats,Octadecadienoic Acid (18:2),19.578g,
Polyunsaturated Fats,Conjugated Linoleic Acid (CLAs),--g,
Polyunsaturated Fats,i-Octadecadienoic Acid (18:2 mixed isomers),--g,
Polyunsaturated Fats,undifferentiated-Octadecatrienoic,0.994g,
Polyunsaturated Fats,Octadecatrienoic Acid (mixed isomers),--g,
Polyunsaturated Fats,Parinaric Acid (18:4),0g,
Polyunsaturated Fats,Eicosatrienoic Acid (20:3),0g,
Polyunsaturated Fats,Eicosatetraenoic Acid 20:4,0g,
Polyunsaturated Fats,Heneicosapentaenoic Acid 21:5,--g,
Polyunsaturated Fats,22:4,--g,
Trans Fats,Trans-Polyenoic Fats,--g,
Trans Fats,Trans-Monoenoic Fats,--g,
Trans Fats,trans-Palmitoleic Acid (16:1 trans),--g,
Trans Fats,trans-Oleic Acid (18:1 trans),--g,
Trans Fats,trans-Docosenoic Acid (22:1 trans),--g,
Trans Fats,trans-Octadecadienoic Acid (18:2 trans),--g,
Trans Fats,trans-trans-Octadecadienoic Acid (18:2 trans trans),--g,
Phytosterols (Plant Sterols),Total Phytosterols,0.085g,
Phytosterols (Plant Sterols),Stigmasterol,0.002g,
Phytosterols (Plant Sterols),Campesterol,0.004g,
Phytosterols (Plant Sterols),Beta-sitosterol,0.078g,
Essential Amino Acids,Histidine,271mg,39%
Essential Amino Acids,Isoleucine,348mg,25%
Essential Amino Acids,Leucine,619mg,23%
Essential Amino Acids,Lysine,297mg,14%
Essential Amino Acids,Methionine,189mg,26%
Essential Amino Acids,Phenylalanine,441mg,50%
Essential Amino Acids,Threonine,317mg,30%
Essential Amino Acids,Tryptophan,96mg,34%
Essential Amino Acids,Valine,426mg,23%
Conditionally Essential Amino Acids,Arginine,1220mg,
Conditionally Essential Amino Acids,Cystine,158mg,55%
Conditionally Essential Amino Acids,Glycine,469mg,
Conditionally Essential Amino Acids,Proline,376mg,
Conditionally Essential Amino Acids,Tyrosine,223mg,25%
Non-Essential Amino Acids,Alanine,411mg,
Non-Essential Amino Acids,Aspartic acid,963mg,
Non-Essential Amino Acids,Betaine,--mg,
Non-Essential Amino Acids,Glutamic acid,1895mg,
Non-Essential Amino Acids,Hydroxyproline,--mg,
Non-Essential Amino Acids,Serine,491mg,
