Categories,Name,Measurement,Daily Value
Macronutrients,Weight,57g,
Macronutrients,Calories (kcal),211,11%
Macronutrients,Fat,0.86g,1%
Macronutrients,Protein,7.4g,15%
Macronutrients,Carbohydrate,42.6g,15%
Macronutrients,Sugars,1.5g,3%
Macronutrients,Fiber,1.8g,7%
Macronutrients,Cholesterol,0mg,0%
Macronutrients,Saturated Fats,0.16g,1%
Macronutrients,Net-Carbs,40.7g,
Macronutrients,Trans Fatty Acids,0g,
Minerals,Calcium,12mg,1%
Minerals,"Iron, Fe",0.74mg,4%
Minerals,"Potassium, K",127.1mg,3%
Minerals,Magnesium,30.2mg,7%
Minerals,"Phosphorus, P",107.7mg,9%
Minerals,Sodium,3.4mg,0%
Minerals,"Zinc, Zn",0.8mg,7%
Minerals,"Copper, Cu",0.16mg,18%
Minerals,Manganese,0.52mg,23%
Minerals,"Selenium, Se",36mcg,65%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",0mcg,0%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),0.05mg,4%
Vitamins,Riboflavin (B2),0.03mg,3%
Vitamins,Niacin (B3),0.97mg,6%
Vitamins,Vitamin B5 (PA),0.25mg,5%
Vitamins,Vitamin B6,0.08mg,5%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),10.3mcg,3%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,10.3mcg,3%
Vitamins,Folate DFE,10.3mcg,3%
Vitamins,Choline,--mg,--%
Vitamins,Vitamin B12,0mcg,0%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",--mcg,--%
Vitamins,"Carotene, alpha",--mcg,--%
Vitamins,"Cryptoxanthin, beta",--mcg,--%
Vitamins,"Vitamin A, IU",0IU,
Vitamins,Lycopene,--mcg,
Vitamins,Lut + Zeaxanthin,--mcg,
Vitamins,Vitamin E,0.06mg,0%
Vitamins,Vitamin D,0mcg,0%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),0IU,0%
Vitamins,Vitamin K,0.06mcg,0%
Vitamins,Vitamin K1,0mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,5.6g,
Other,Ash,0.5g,
Other,Alcohol,0g,
Other,Caffeine,--mg,
Other,Theobromine,--mg,
Other,PRAL score,4,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,0.27g,
Carbs & Sugars,Glucose (Dextrose),0.07g,
Carbs & Sugars,Fructose,0.06g,
Carbs & Sugars,Lactose,0g,
Carbs & Sugars,Maltose,1.1g,
Carbs & Sugars,Galactose,0g,
Carbs & Sugars,Starch,35.6g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,0.097g,
Fats,Total Polyunsaturated,0.321g,
Fats,Omega 3s,0.014g,1%
Fats,Omega 6s,0.308g,2%
Fats,Omega 3 to Omega 6 Ratio,0.04,
Fats,Omega 6 to Omega 3 Ratio,22.5,
Omega 3 Fats,alpha-Linolenic Acid (ALA),0.014g,1%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),0g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,0g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
Omega-6 Fats,Butyric (4:0),0g,
Omega-6 Fats,Caproic (6:0),0g,
Omega-6 Fats,Caprylic Acid (8:0),0g,
Omega-6 Fats,Capric Acid (10:0),0g,
Omega-6 Fats,Lauric Acid (12:0),0g,
Omega-6 Fats,Tridecanoic Acid (13:0),0g,
Omega-6 Fats,Myristic Acid (14:0),0g,
Omega-6 Fats,Pentadecanoic Acid (15:0),0g,
Omega-6 Fats,Palmitic Acid (16:0),0.143g,
Omega-6 Fats,Margaric Acid (17:0),0g,
Omega-6 Fats,Stearic Acid (18:0),0.014g,
Omega-6 Fats,Arachidic Acid (20:0),0g,
Omega-6 Fats,Behenic Acid (22:0),0g,
Omega-6 Fats,Lignoceric Acid (24:0),0g,
Monounsaturated Fats,Myristoleic Acid (14:1),0g,
Monounsaturated Fats,Pentadecenoic Acid (15:1),0g,
Monounsaturated Fats,Palmitoleic Acid (16:1),0g,
Monounsaturated Fats,cis-Palmitoleic Acid (16:1 cis),--g,
Monounsaturated Fats,Heptadecenoic Acid (17:1),0g,
Monounsaturated Fats,Oleic Acid (18:1),0.097g,
Monounsaturated Fats,cis-Oleic Acid (18:1 cis),0.097g,
Monounsaturated Fats,cis-Vaccenic acid,--g,
Monounsaturated Fats,Gadoleic Acid (20:1),0g,
Monounsaturated Fats,Docosenoic Acid (22:1),0g,
Monounsaturated Fats,cis-Docosenoic Acid (22:1 cis),--g,
Monounsaturated Fats,cis-Tetracosenoic Acid (24:1 cis),0g,
Polyunsaturated Fats,Octadecadienoic Acid (18:2),0.308g,
Polyunsaturated Fats,Conjugated Linoleic Acid (CLAs),--g,
Polyunsaturated Fats,i-Octadecadienoic Acid (18:2 mixed isomers),--g,
Polyunsaturated Fats,undifferentiated-Octadecatrienoic,0.014g,
Polyunsaturated Fats,Octadecatrienoic Acid (mixed isomers),--g,
Polyunsaturated Fats,Parinaric Acid (18:4),0g,
Polyunsaturated Fats,Eicosatrienoic Acid (20:3),0g,
Polyunsaturated Fats,Eicosatetraenoic Acid 20:4,0g,
Polyunsaturated Fats,Heneicosapentaenoic Acid 21:5,--g,
Polyunsaturated Fats,22:4,--g,
Trans Fats,Trans-Polyenoic Fats,--g,
Trans Fats,Trans-Monoenoic Fats,0g,
Trans Fats,trans-Palmitoleic Acid (16:1 trans),--g,
Trans Fats,trans-Oleic Acid (18:1 trans),0g,
Trans Fats,trans-Docosenoic Acid (22:1 trans),--g,
Trans Fats,trans-Octadecadienoic Acid (18:2 trans),--g,
Trans Fats,trans-trans-Octadecadienoic Acid (18:2 trans trans),--g,
Phytosterols (Plant Sterols),Total Phytosterols,--g,
Phytosterols (Plant Sterols),Stigmasterol,--g,
Phytosterols (Plant Sterols),Campesterol,--g,
Phytosterols (Plant Sterols),Beta-sitosterol,--g,
Essential Amino Acids,Histidine,170mg,24%
Essential Amino Acids,Isoleucine,291mg,21%
Essential Amino Acids,Leucine,563mg,21%
Essential Amino Acids,Lysine,170mg,8%
Essential Amino Acids,Methionine,84mg,12%
Essential Amino Acids,Phenylalanine,381mg,44%
Essential Amino Acids,Threonine,263mg,25%
Essential Amino Acids,Tryptophan,105mg,38%
Essential Amino Acids,Valine,335mg,18%
Conditionally Essential Amino Acids,Arginine,270mg,
Conditionally Essential Amino Acids,Cystine,145mg,51%
Conditionally Essential Amino Acids,Glycine,251mg,
Conditionally Essential Amino Acids,Proline,894mg,
Conditionally Essential Amino Acids,Tyrosine,139mg,16%
Non-Essential Amino Acids,Alanine,250mg,
Non-Essential Amino Acids,Aspartic acid,356mg,
Non-Essential Amino Acids,Betaine,--mg,
Non-Essential Amino Acids,Glutamic acid,2620mg,
Non-Essential Amino Acids,Hydroxyproline,0mg,
Non-Essential Amino Acids,Serine,352mg,
