Categories,Name,Measurement,Daily Value
Macronutrients,Weight,258g,
Macronutrients,Calories (kcal),1520,76%
Macronutrients,Fat,128.8g,165%
Macronutrients,Protein,62.1g,124%
Macronutrients,Carbohydrate,55.7g,20%
Macronutrients,Sugars,21.7g,43%
Macronutrients,Fiber,20.6g,74%
Macronutrients,Cholesterol,0mg,0%
Macronutrients,Saturated Fats,19.6g,98%
Macronutrients,Net-Carbs,35g,
Macronutrients,Trans Fatty Acids,--g,
Minerals,Calcium,116.1mg,9%
Minerals,"Iron, Fe",4.9mg,27%
Minerals,"Potassium, K",1922.1mg,41%
Minerals,Magnesium,412.8mg,98%
Minerals,"Phosphorus, P",823mg,66%
Minerals,Sodium,43.9mg,2%
Minerals,"Zinc, Zn",7.2mg,65%
Minerals,"Copper, Cu",1.5mg,166%
Minerals,Manganese,4.6mg,202%
Minerals,"Selenium, Se",21.2mcg,38%
Minerals,"Fluoride, F",8mcg,0%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",0mcg,0%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),0.27mg,23%
Vitamins,Riboflavin (B2),0.29mg,22%
Vitamins,Niacin (B3),35.3mg,221%
Vitamins,Vitamin B5 (PA),2.9mg,58%
Vitamins,Vitamin B6,1.1mg,63%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),237.4mcg,59%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,237.4mcg,59%
Vitamins,Folate DFE,237.4mcg,59%
Vitamins,Choline,158.2mg,29%
Vitamins,Vitamin B12,0mcg,0%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",0mcg,0%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",0mcg,0%
Vitamins,"Vitamin A, IU",0IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,0mcg,
Vitamins,Vitamin E,16.3mg,108%
Vitamins,Vitamin D,0mcg,0%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),0IU,0%
Vitamins,Vitamin K,1.3mcg,1%
Vitamins,Vitamin K1,1.3mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,2.9g,
Other,Ash,8g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,7.95,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,10.8g,
Carbs & Sugars,Glucose (Dextrose),10.9g,
Carbs & Sugars,Fructose,0g,
Carbs & Sugars,Lactose,0g,
Carbs & Sugars,Maltose,0g,
Carbs & Sugars,Galactose,0g,
Carbs & Sugars,Starch,12.7g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,59.657g,
Fats,Total Polyunsaturated,35.945g,
Fats,Omega 3s,0.201g,13%
Fats,Omega 6s,35.743g,210%
Fats,Omega 3 to Omega 6 Ratio,0.01,
Fats,Omega 6 to Omega 3 Ratio,177.62,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),0g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),0g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),0g,
Omega 3 Fats,n-3-Eicosatrienoic Acid (20:3),--g,
Omega-6 Fats,Linoleic Acid (18:2 n-6 cis cis),--g,
Omega-6 Fats,gamma-Linolenic Acid (GLA),--g,
Omega-6 Fats,cis-cis-n6-Eicosadienoic Acid,--g,
Omega-6 Fats,Dihomo-gamma-linolenic acid (DGLA),--g,
Omega-6 Fats,Arachidonic acid (AA),--g,
Omega-6 Fats,Butyric (4:0),0g,
Omega-6 Fats,Caproic (6:0),0g,
Omega-6 Fats,Caprylic Acid (8:0),0g,
Omega-6 Fats,Capric Acid (10:0),0g,
Omega-6 Fats,Lauric Acid (12:0),0.459g,
Omega-6 Fats,Tridecanoic Acid (13:0),--g,
Omega-6 Fats,Myristic Acid (14:0),0.129g,
Omega-6 Fats,Pentadecanoic Acid (15:0),--g,
Omega-6 Fats,Palmitic Acid (16:0),15.63g,
Omega-6 Fats,Margaric Acid (17:0),--g,
Omega-6 Fats,Stearic Acid (18:0),1.76g,
Omega-6 Fats,Arachidic Acid (20:0),1.651g,
Omega-6 Fats,Behenic Acid (22:0),--g,
Omega-6 Fats,Lignoceric Acid (24:0),--g,
Monounsaturated Fats,Myristoleic Acid (14:1),--g,
Monounsaturated Fats,Pentadecenoic Acid (15:1),--g,
Monounsaturated Fats,Palmitoleic Acid (16:1),0g,
Monounsaturated Fats,cis-Palmitoleic Acid (16:1 cis),--g,
Monounsaturated Fats,Heptadecenoic Acid (17:1),--g,
Monounsaturated Fats,Oleic Acid (18:1),57.619g,
Monounsaturated Fats,cis-Oleic Acid (18:1 cis),--g,
Monounsaturated Fats,cis-Vaccenic acid,--g,
Monounsaturated Fats,Gadoleic Acid (20:1),2.038g,
Monounsaturated Fats,Docosenoic Acid (22:1),0g,
Monounsaturated Fats,cis-Docosenoic Acid (22:1 cis),--g,
Monounsaturated Fats,cis-Tetracosenoic Acid (24:1 cis),--g,
Polyunsaturated Fats,Octadecadienoic Acid (18:2),35.743g,
Polyunsaturated Fats,Conjugated Linoleic Acid (CLAs),--g,
Polyunsaturated Fats,i-Octadecadienoic Acid (18:2 mixed isomers),--g,
Polyunsaturated Fats,undifferentiated-Octadecatrienoic,0.201g,
Polyunsaturated Fats,Octadecatrienoic Acid (mixed isomers),--g,
Polyunsaturated Fats,Parinaric Acid (18:4),0g,
Polyunsaturated Fats,Eicosatrienoic Acid (20:3),--g,
Polyunsaturated Fats,Eicosatetraenoic Acid 20:4,0g,
Polyunsaturated Fats,Heneicosapentaenoic Acid 21:5,--g,
Polyunsaturated Fats,22:4,--g,
Trans Fats,Trans-Polyenoic Fats,--g,
Trans Fats,Trans-Monoenoic Fats,--g,
Trans Fats,trans-Palmitoleic Acid (16:1 trans),--g,
Trans Fats,trans-Oleic Acid (18:1 trans),--g,
Trans Fats,trans-Docosenoic Acid (22:1 trans),--g,
Trans Fats,trans-Octadecadienoic Acid (18:2 trans),--g,
Trans Fats,trans-trans-Octadecadienoic Acid (18:2 trans trans),--g,
Phytosterols (Plant Sterols),Total Phytosterols,--g,
Phytosterols (Plant Sterols),Stigmasterol,0.028g,
Phytosterols (Plant Sterols),Campesterol,0.039g,
Phytosterols (Plant Sterols),Beta-sitosterol,0.199g,
Essential Amino Acids,Histidine,1419mg,203%
Essential Amino Acids,Isoleucine,1569mg,112%
Essential Amino Acids,Leucine,3935mg,144%
Essential Amino Acids,Lysine,1731mg,82%
Essential Amino Acids,Methionine,676mg,93%
Essential Amino Acids,Phenylalanine,3057mg,349%
Essential Amino Acids,Threonine,1336mg,127%
Essential Amino Acids,Tryptophan,588mg,210%
Essential Amino Acids,Valine,1992mg,109%
Conditionally Essential Amino Acids,Arginine,7046mg,
Conditionally Essential Amino Acids,Cystine,583mg,203%
Conditionally Essential Amino Acids,Glycine,3656mg,
Conditionally Essential Amino Acids,Proline,3584mg,
Conditionally Essential Amino Acids,Tyrosine,2110mg,241%
Non-Essential Amino Acids,Alanine,2330mg,
Non-Essential Amino Acids,Aspartic acid,7771mg,
Non-Essential Amino Acids,Betaine,3mg,
Non-Essential Amino Acids,Glutamic acid,12959mg,
Non-Essential Amino Acids,Hydroxyproline,103mg,
Non-Essential Amino Acids,Serine,3769mg,
