Categories,Name,Measurement,Daily Value
Macronutrients,Weight,100g,
Macronutrients,Calories (kcal),185,9%
Macronutrients,Fat,6.2g,8%
Macronutrients,Protein,31.7g,63%
Macronutrients,Carbohydrate,0.57g,0%
Macronutrients,Sugars,0g,0%
Macronutrients,Fiber,0g,0%
Macronutrients,Cholesterol,85mg,28%
Macronutrients,Saturated Fats,1.9g,9%
Macronutrients,Net-Carbs,0.57g,
Macronutrients,Trans Fatty Acids,0.07g,
Minerals,Calcium,20mg,2%
Minerals,"Iron, Fe",1.1mg,6%
Minerals,"Potassium, K",415mg,9%
Minerals,Magnesium,25mg,6%
Minerals,"Phosphorus, P",261mg,21%
Minerals,Sodium,88mg,4%
Minerals,"Zinc, Zn",2.6mg,24%
Minerals,"Copper, Cu",0.04mg,4%
Minerals,Manganese,0.01mg,1%
Minerals,"Selenium, Se",49.1mcg,89%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",0mcg,0%
Vitamins,Vitamin C,0mg,0%
Vitamins,Thiamin (B1),0.43mg,36%
Vitamins,Riboflavin (B2),0.44mg,33%
Vitamins,Niacin (B3),10.3mg,64%
Vitamins,Vitamin B5 (PA),0.85mg,17%
Vitamins,Vitamin B6,0.63mg,37%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),3mcg,1%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,3mcg,1%
Vitamins,Folate DFE,3mcg,1%
Vitamins,Choline,95.2mg,17%
Vitamins,Vitamin B12,0.83mcg,35%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",0mcg,0%
Vitamins,"Carotene, alpha",0mcg,0%
Vitamins,"Cryptoxanthin, beta",0mcg,0%
Vitamins,"Vitamin A, IU",0IU,
Vitamins,Lycopene,0mcg,
Vitamins,Lut + Zeaxanthin,0mcg,
Vitamins,Vitamin E,0.4mg,3%
Vitamins,Vitamin D,0.2mcg,1%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,0.2mcg,
Vitamins,Vitamin D (IU),6IU,1%
Vitamins,Vitamin K,0mcg,0%
Vitamins,Vitamin K1,0mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,60.1g,
Other,Ash,1g,
Other,Alcohol,0g,
Other,Caffeine,0mg,
Other,Theobromine,0mg,
Other,PRAL score,15.51,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
