Categories,Name,Measurement,Daily Value
Macronutrients,Weight,100g,
Macronutrients,Calories (kcal),477,24%
Macronutrients,Fat,30.3g,39%
Macronutrients,Protein,52.5g,105%
Macronutrients,Carbohydrate,10g,4%
Macronutrients,Sugars,--g,--%
Macronutrients,Fiber,7.2g,26%
Macronutrients,Cholesterol,0mg,0%
Macronutrients,Saturated Fats,4.4g,22%
Macronutrients,Net-Carbs,2.8g,
Macronutrients,Trans Fatty Acids,0g,
Minerals,Calcium,364mg,28%
Minerals,"Iron, Fe",9.7mg,54%
Minerals,"Potassium, K",20mg,0%
Minerals,Magnesium,59mg,14%
Minerals,"Phosphorus, P",483mg,39%
Minerals,Sodium,6mg,0%
Minerals,"Zinc, Zn",4.9mg,45%
Minerals,"Copper, Cu",1.2mg,131%
Minerals,Manganese,3.7mg,160%
Minerals,"Selenium, Se",54.3mcg,99%
Minerals,"Fluoride, F",--mcg,--%
Minerals,Molybdenum,--mcg,
Minerals,"Iodine, I",--mcg,
Minerals,Chlorine,--mg,
Minerals,Chromium,--mcg,
Vitamins,"Vitamin A, RAE",26mcg,3%
Vitamins,Vitamin C,0.7mg,1%
Vitamins,Thiamin (B1),0.49mg,41%
Vitamins,Riboflavin (B2),0.32mg,24%
Vitamins,Niacin (B3),1.2mg,7%
Vitamins,Vitamin B5 (PA),0.42mg,8%
Vitamins,Vitamin B6,0.29mg,17%
Vitamins,Biotin,--mcg,
Vitamins,Folate (B9),92mcg,23%
Vitamins,Folic acid,0mcg,0%
Vitamins,Food Folate,92mcg,23%
Vitamins,Folate DFE,92mcg,23%
Vitamins,Choline,--mg,--%
Vitamins,Vitamin B12,0mcg,0%
Vitamins,Retinol,0mcg,
Vitamins,"Carotene, beta",--mcg,--%
Vitamins,"Carotene, alpha",--mcg,--%
Vitamins,"Cryptoxanthin, beta",--mcg,--%
Vitamins,"Vitamin A, IU",518IU,
Vitamins,Lycopene,--mcg,
Vitamins,Lut + Zeaxanthin,--mcg,
Vitamins,Vitamin E,--mg,--%
Vitamins,Vitamin D,0mcg,0%
Vitamins,Vitamin D2,--mcg,
Vitamins,Vitamin D3,--mcg,
Vitamins,Vitamin D (IU),0IU,0%
Vitamins,Vitamin K,--mcg,--%
Vitamins,Vitamin K1,--mcg,
Vitamins,Menaquinone-4 (K2),--mcg,
Other,Water,5.8g,
Other,Ash,1g,
Other,Alcohol,--g,
Other,Caffeine,--mg,
Other,Theobromine,--mg,
Other,PRAL score,36.88,
Carbs & Sugars,Soluble Fiber,--g,
Carbs & Sugars,Insoluble Fiber,--g,
Carbs & Sugars,Added Sugar,--g,--%
Carbs & Sugars,Sucrose,--g,
Carbs & Sugars,Glucose (Dextrose),--g,
Carbs & Sugars,Fructose,--g,
Carbs & Sugars,Lactose,--g,
Carbs & Sugars,Maltose,--g,
Carbs & Sugars,Galactose,--g,
Carbs & Sugars,Starch,--g,
Carbs & Sugars,"Carbohydrate, other",--g,
Carbs & Sugars,Total sugar alcohols,--g,
Fats,Total Monounsaturated,6.701g,
Fats,Total Polyunsaturated,17.128g,
Fats,Omega 3s,2.024g,126%
Fats,Omega 6s,15.104g,89%
Fats,Omega 3 to Omega 6 Ratio,0.13,
Fats,Omega 6 to Omega 3 Ratio,7.46,
Omega 3 Fats,alpha-Linolenic Acid (ALA),--g,--%
Omega 3 Fats,Eicosapentaenoic Acid (EPA),--g,
Omega 3 Fats,Docosapentaenoic Acid (DPA),--g,
Omega 3 Fats,Docosahexaenoic Acid (DHA),--g,
